Actual,Predicted
11,17.122225
42,21.4351
25,23.642416
30,27.992075
12,16.724516
20,26.818089
50,28.165022
12,17.885267
11,21.406015
42,25.651833
45,27.178026
100,25.685194
23,24.588003
20,19.765902
15,17.30526
23,22.163988
11,19.983376
24,18.59285
15,25.290226
11,24.584562
16,18.625
13,17.542583
14,15.954811
20,17.67574
61,29.149784
35,19.765902
23,21.452454
19,20.143177
31,23.642416
19,22.04378
19,22.04378
19,17.725006
15,17.885267
52,23.35414
19,17.576918
15,20.187784
13,17.217798
30,23.061855
11,16.048138
13,19.537287
24,23.963253
16,25.218092
30,18.860258
28,22.862871
16,24.882559
13,20.615461
21,21.455515
13,15.521605
12,16.979979
20,16.678265
19,20.540565
19,21.3408
28,21.0777
28,24.854713
28,21.522274
19,21.522274
19,21.522274
20,21.695267
16,21.325533
20,19.488394
20,21.480093
20,21.480093
17,19.731966
20,17.174303
67,24.882559
12,16.623095
15,17.477478
11,18.08003
64,24.985794
28,23.010124
19,21.026815
59,27.073631
12,21.329138
12,16.024279
15,16.623095
28,24.553667
31,24.04899
36,22.588964
28,20.031954
14,27.073631
22,17.32709
25,20.981117
20,21.57229
14,15.684156
32,21.82463
17,20.514498
16,15.2121525
41,21.2249
24,20.939533
13,18.582804
15,22.00136
33,17.94498
16,22.332367
61,22.332367
23,21.798727
12,19.721973
12,19.731966
12,23.518667
12,22.161543
12,23.518667
34,23.73371
11,19.878698
12,16.060503
16,19.793308
20,21.436672
11,20.032074
19,20.514498
31,20.514498
20,24.133268
49,20.514498
11,18.149273
11,22.099083
32,19.481058
11,19.055887
27,26.557438
12,16.232086
40,19.73519
100,28.832735
13,16.618784
11,18.603657
12,17.243378
69,21.858156
21,26.244587
35,21.80362
11,15.045467
12,21.571909
17,18.406353
20,26.084545
14,21.384811
20,23.714752
26,25.661455
19,18.95785
49,25.661455
24,22.759016
15,18.078575
21,23.724152
18,15.5674515
20,21.79309
26,17.168182
21,18.876947
20,17.15604
18,18.496494
11,17.750628
11,16.11146
18,23.156837
18,20.121561
13,17.836288
18,22.658417
20,18.923044
